W/L,Team FG%,Team 3P%,Team FT%,Opponent FG%,Opponent 3P%,Opponent FT%
L,0.435,0.421,0.739,0.461,0.381,0.895
W,0.444,0.318,0.808,0.481,0.409,0.824
W,0.5,0.4,0.826,0.479,0.355,0.625
L,0.488,0.375,0.636,0.667,0.455,0.727
L,0.435,0.36,0.857,0.522,0.441,0.647
W,0.488,0.364,0.771,0.5,0.286,0.88
W,0.451,0.478,0.914,0.527,0.259,0.68
W,0.494,0.273,0.667,0.429,0.258,0.857
W,0.544,0.417,0.8,0.465,0.37,0.75
W,0.458,0.417,0.867,0.416,0.321,0.524
L,0.413,0.208,0.741,0.565,0.417,0.778
L,0.406,0.2,0.8,0.535,0.385,0.667
W,0.521,0.5,0.862,0.44,0.35,0.909
W,0.448,0.5,0.688,0.418,0.292,0.867
W,0.464,0.433,0.87,0.372,0.211,0.882
L,0.513,0.227,0.667,0.47,0.32,0.7
L,0.411,0.222,0.846,0.494,0.423,0.793
W,0.46,0.348,0.8,0.505,0.324,0.636
L,0.44,0.412,0.615,0.475,0.487,0.875
W,0.527,0.429,0.706,0.506,0.5,0.75
L,0.412,0.333,0.643,0.434,0.357,0.588
W,0.58,0.391,0.895,0.464,0.4,0.909
L,0.513,0.5,0.81,0.519,0.308,0.955
W,0.432,0.308,0.903,0.507,0.441,0.773
L,0.443,0.235,0.947,0.472,0.286,0.875
W,0.549,0.368,0.762,0.444,0.313,0.6
W,0.5,0.368,0.783,0.457,0.355,0.778
L,0.407,0.172,0.704,0.5,0.423,0.844
W,0.561,0.476,0.85,0.414,0.424,0.833
L,0.421,0.333,0.708,0.458,0.458,0.886
W,0.462,0.368,0.81,0.548,0.417,1
W,0.494,0.333,0.947,0.5,0.464,0.792
W,0.5,0.375,0.862,0.465,0.344,0.625
W,0.583,0.344,0.857,0.435,0.333,0.7
W,0.522,0.414,0.733,0.462,0.385,0.839
L,0.479,0.321,0.731,0.547,0.333,0.938
W,0.477,0.211,0.84,0.388,0.4,0.778
W,0.494,0.35,0.9,0.447,0.308,0.69
L,0.45,0.091,0.8,0.514,0.467,0.909
L,0.368,0.304,0.75,0.404,0.167,0.692
W,0.489,0.5,0.905,0.423,0.207,0.929
W,0.52,0.323,0.765,0.44,0.342,0.75
W,0.488,0.35,0.704,0.4,0.24,0.75
W,0.516,0.37,0.625,0.542,0.5,0.667
W,0.538,0.368,0.818,0.494,0.44,0.824
L,0.439,0.438,0.9,0.444,0.355,0.895
L,0.469,0.333,0.667,0.477,0.436,0.882
W,0.469,0.438,0.762,0.47,0.364,0.905
W,0.473,0.318,0.846,0.56,0.333,0.682
L,0.536,0.375,0.818,0.549,0.548,0.762
L,0.455,0.3,0.833,0.539,0.568,0.6
W,0.438,0.19,0.885,0.463,0.3,0.8
L,0.47,0.368,0.833,0.494,0.382,0.875
L,0.494,0.417,0.625,0.481,0.31,0.846
W,0.538,0.368,0.85,0.376,0.207,0.76
W,0.505,0.476,0.75,0.416,0.242,0.882
L,0.581,0.576,0.917,0.591,0.512,0.652
L,0.471,0.364,0.821,0.494,0.346,0.767
W,0.5,0.375,0.875,0.477,0.4,0.706
L,0.476,0.261,0.957,0.494,0.468,0.759
W,0.467,0.25,0.935,0.457,0.226,0.692
L,0.426,0.385,0.75,0.482,0.368,0.867
W,0.489,0.314,0.731,0.467,0.261,0.7
W,0.513,0.438,0.917,0.476,0.364,0.923
L,0.447,0.2,0.905,0.391,0.3,0.771
L,0.514,0.529,0.742,0.513,0.31,0.771
L,0.468,0.387,0.692,0.494,0.344,0.741
W,0.463,0.3,0.714,0.407,0.278,0.905
W,0.529,0.333,0.895,0.512,0.4,0.76
L,0.481,0.583,0.8,0.51,0.231,0.929
L,0.523,0.5,0.769,0.551,0.457,0.75
W,0.523,0.4,0.958,0.43,0.333,0.808
W,0.467,0.385,0.875,0.435,0.429,0.706
L,0.385,0.261,0.737,0.477,0.351,0.639
L,0.418,0.333,0.792,0.476,0.484,0.667
W,0.533,0.433,0.81,0.532,0.481,0.826
W,0.422,0.32,0.882,0.442,0.393,0.714
L,0.422,0.333,0.929,0.605,0.393,0.72
L,0.429,0.25,0.75,0.393,0.306,0.864
W,0.43,0.308,0.731,0.392,0.333,0.813
W,0.483,0.318,0.846,0.412,0.278,0.905
W,0.472,0.391,0.76,0.456,0.406,0.611
L,0.419,0.333,0.69,0.45,0.458,0.704
L,0.529,0.318,0.71,0.459,0.346,0.76
W,0.551,0.6,0.783,0.36,0.167,0.759
L,0.398,0.409,0.8,0.481,0.273,0.72
L,0.393,0.211,0.759,0.523,0.438,0.625
L,0.424,0.429,0.714,0.553,0.364,0.885
W,0.517,0.565,0.769,0.447,0.333,0.767
L,0.449,0.364,0.81,0.526,0.458,0.757
W,0.525,0.481,0.667,0.465,0.333,0.833
L,0.427,0.429,0.81,0.538,0.458,0.818
W,0.512,0.24,0.9,0.373,0.281,0.789
L,0.391,0.318,0.636,0.382,0.111,0.868
L,0.419,0.167,0.68,0.452,0.316,0.786
L,0.384,0.176,0.818,0.542,0.375,0.783
W,0.4,0.318,0.92,0.405,0.231,0.714
L,0.461,0.286,0.833,0.556,0.5,0.824
L,0.444,0.368,0.96,0.506,0.222,0.824
L,0.442,0.211,0.821,0.451,0.406,0.733
L,0.466,0.357,0.917,0.477,0.387,0.8
W,0.453,0.37,0.864,0.436,0.389,0.692
L,0.439,0.35,0.667,0.527,0.458,0.842
L,0.511,0.321,0.733,0.494,0.444,0.788
L,0.474,0.188,0.65,0.5,0.483,0.826
L,0.444,0.375,0.75,0.458,0.406,0.9
W,0.442,0.286,0.773,0.437,0.267,0.737
L,0.446,0.333,0.741,0.406,0.333,0.8
W,0.488,0.368,0.96,0.451,0.429,0.714
W,0.422,0.31,0.929,0.415,0.269,0.692
L,0.456,0.375,0.808,0.525,0.517,0.714
L,0.47,0.333,0.783,0.512,0.333,0.833
W,0.451,0.484,0.833,0.422,0.25,0.706
L,0.447,0.28,0.706,0.519,0.357,0.786
W,0.558,0.52,0.81,0.541,0.444,0.647
L,0.402,0.304,0.667,0.493,0.273,0.607
L,0.402,0.292,0.9,0.388,0.219,0.8
L,0.477,0.389,0.824,0.582,0.545,0.889
L,0.438,0.35,0.714,0.416,0.348,0.786
W,0.563,0.375,0.714,0.462,0.464,0.778
W,0.543,0.348,0.92,0.414,0.357,0.818
W,0.453,0.278,0.929,0.388,0.15,0.81
L,0.438,0.238,0.667,0.468,0.414,0.737
L,0.493,0.462,0.878,0.512,0.444,0.8
W,0.476,0.313,0.76,0.483,0.182,0.542
W,0.529,0.4,0.714,0.512,0.292,0.81
W,0.524,0.353,0.75,0.442,0.368,0.875
L,0.444,0.37,0.778,0.519,0.556,0.882
W,0.505,0.45,0.813,0.482,0.333,0.8
W,0.44,0.414,0.731,0.427,0.286,0.684
L,0.436,0.333,0.8,0.539,0.405,0.636
L,0.494,0.294,0.789,0.449,0.423,0.773
L,0.417,0.385,0.792,0.416,0.357,0.846
L,0.538,0.455,0.786,0.523,0.536,0.714
W,0.488,0.368,0.9,0.532,0.393,0.7
L,0.463,0.222,0.75,0.6,0.48,0.741
W,0.543,0.25,0.885,0.417,0.4,0.692
L,0.488,0.391,0.789,0.512,0.333,0.682
W,0.477,0.333,0.857,0.404,0.324,0.667
W,0.526,0.385,0.714,0.422,0.242,0.667
L,0.521,0.346,0.821,0.468,0.379,0.762
W,0.421,0.348,0.7,0.439,0.353,0.667
W,0.5,0.5,0.808,0.389,0.211,0.545
L,0.393,0.25,0.727,0.404,0.25,0.625
W,0.488,0.25,0.9,0.422,0.375,0.667
W,0.443,0.286,0.778,0.466,0.292,0.765
L,0.457,0.385,0.762,0.463,0.4,0.87
W,0.523,0.476,0.864,0.429,0.269,0.806
L,0.44,0.296,0.8,0.544,0.394,0.857
L,0.5,0.167,0.955,0.588,0.308,0.789
L,0.512,0.36,0.706,0.544,0.467,0.733
L,0.444,0.467,0.88,0.481,0.333,0.818
L,0.484,0.333,0.909,0.523,0.609,0.857
L,0.487,0.2,0.75,0.634,0.5,0.647
W,0.474,0.45,0.865,0.494,0.278,0.829
W,0.483,0.476,0.767,0.476,0.333,0.938
L,0.448,0.333,0.789,0.564,0.579,0.727
W,0.488,0.444,0.857,0.442,0.344,0.88
L,0.427,0.211,0.808,0.524,0.438,0.792
L,0.437,0.222,0.9,0.432,0.424,0.808
L,0.494,0.438,1,0.6,0.56,0.727
L,0.5,0.2,0.839,0.488,0.37,0.8
L,0.442,0.25,0.68,0.43,0.318,0.76
L,0.527,0.478,0.733,0.464,0.339,0.636
W,0.458,0.25,0.838,0.389,0.265,0.914
W,0.423,0.182,0.805,0.305,0.2,0.75
L,0.43,0.231,0.769,0.461,0.3,0.75
L,0.353,0.333,0.909,0.487,0.286,0.72
W,0.406,0.438,0.63,0.355,0.344,0.696
W,0.575,0.467,0.818,0.512,0.419,0.857
L,0.45,0.474,0.737,0.487,0.308,0.741
L,0.494,0.333,0.75,0.539,0.474,0.938
L,0.506,0.35,0.923,0.477,0.4,0.652
L,0.5,0.313,0.905,0.563,0.529,0.926
W,0.371,0.19,0.771,0.456,0.208,0.467
L,0.424,0.222,0.833,0.373,0.429,0.619
L,0.429,0.231,0.68,0.46,0.214,0.769
W,0.462,0.25,0.926,0.41,0.323,0.778
W,0.415,0.429,0.759,0.378,0.258,0.714
W,0.481,0.36,0.947,0.43,0.364,0.6
L,0.451,0.5,0.81,0.52,0.364,0.636
L,0.377,0.211,0.816,0.442,0.294,0.75
L,0.458,0.333,0.846,0.506,0.5,0.7
L,0.439,0.389,0.771,0.442,0.32,0.897
W,0.495,0.368,0.774,0.516,0.391,0.63
L,0.437,0.368,0.862,0.442,0.393,0.727
L,0.452,0.421,0.794,0.448,0.333,0.833
L,0.468,0.4,0.774,0.562,0.556,0.741
L,0.416,0.19,1,0.435,0.381,0.833
W,0.476,0.333,0.938,0.469,0.304,0.706
W,0.475,0.25,0.875,0.41,0.238,0.8
L,0.456,0.154,0.781,0.517,0.48,0.563
L,0.417,0.3,0.8,0.537,0.417,0.714
L,0.467,0.333,0.778,0.5,0.346,0.929
L,0.476,0.273,0.583,0.514,0.294,0.786
W,0.468,0.5,0.63,0.35,0.256,0.7
L,0.407,0.357,0.789,0.477,0.4,0.679
L,0.393,0.214,0.667,0.427,0.5,0.821
L,0.534,0.4,0.792,0.552,0.2,0.643
L,0.384,0.273,0.75,0.358,0.4,0.706
L,0.456,0.438,0.769,0.531,0.481,0.897
L,0.418,0.25,0.773,0.468,0.3,0.714
L,0.444,0.389,0.739,0.464,0.409,0.778
L,0.462,0.471,0.8,0.493,0.233,0.684
L,0.4,0.417,0.87,0.528,0.217,0.636
W,0.565,0.389,0.8,0.432,0.2,0.56
L,0.474,0.214,0.774,0.506,0.435,0.87
L,0.44,0.217,0.818,0.433,0.2,0.773
W,0.5,0.294,0.917,0.468,0.474,0.818
L,0.488,0.25,0.913,0.506,0.355,0.65
L,0.556,0.357,0.643,0.527,0.5,0.952
L,0.467,0.2,0.692,0.526,0.4,0.813
L,0.438,0.25,0.679,0.421,0.222,0.867
L,0.575,0.235,0.76,0.5,0.462,0.771
W,0.506,0.471,0.846,0.44,0.344,0.735
W,0.517,0.083,0.955,0.471,0.4,0.895
L,0.444,0.167,0.8,0.485,0.417,0.6
W,0.461,0.286,0.811,0.453,0.323,0.75
L,0.413,0.423,1,0.488,0.333,0.786
L,0.429,0.417,0.72,0.506,0.294,0.875
W,0.518,0.533,0.75,0.485,0.357,0.824
L,0.5,0.6,0.758,0.482,0.385,0.846
W,0.5,0.333,0.767,0.464,0.37,0.846
L,0.378,0.304,0.703,0.528,0.361,1
L,0.427,0.357,0.853,0.5,0.379,0.692
L,0.483,0.318,0.714,0.518,0.583,0.8
W,0.684,0.556,0.818,0.489,0.346,0.731
L,0.488,0.267,0.875,0.456,0.4,0.824
L,0.456,0.267,0.789,0.553,0.211,0.947
W,0.43,0.333,0.857,0.429,0.222,0.72
L,0.44,0.25,0.867,0.421,0.314,0.8
W,0.563,0.476,0.774,0.44,0.2,0.762
L,0.506,0.375,0.792,0.565,0.379,0.643
L,0.439,0.368,0.833,0.494,0.333,0.625
W,0.563,0.385,0.563,0.462,0.4,0.522
W,0.531,0.308,1,0.5,0.448,0.696
L,0.381,0.364,0.842,0.47,0.429,0.857
W,0.506,0.269,0.8,0.488,0.455,0.826
L,0.345,0.348,0.647,0.44,0.29,0.889
L,0.443,0.391,0.6,0.528,0.364,0.609
L,0.408,0.19,0.889,0.386,0.35,0.588
W,0.512,0.471,0.778,0.5,0.343,0.875
W,0.45,0.524,0.71,0.424,0.353,0.905
W,0.488,0.385,0.76,0.5,0.375,0.889
L,0.458,0.238,0.727,0.558,0.5,0.692
W,0.651,0.464,0.826,0.435,0.367,0.818
L,0.453,0.5,0.739,0.524,0.267,0.75
W,0.487,0.4,0.679,0.418,0.333,0.615
L,0.447,0.333,0.806,0.478,0.391,0.775
W,0.411,0.412,0.773,0.439,0.381,0.647
L,0.43,0.222,0.76,0.505,0.5,0.789
L,0.402,0.25,0.783,0.526,0.385,0.882
L,0.444,0.5,0.767,0.483,0.464,0.737
L,0.403,0.214,0.732,0.667,0.75,0.75
L,0.5,0.412,0.828,0.553,0.308,0.826
W,0.494,0.5,0.727,0.493,0.563,0.786
L,0.411,0.308,0.636,0.548,0.619,0.889
L,0.411,0.353,0.778,0.494,0.308,0.833
L,0.383,0.214,0.618,0.471,0.313,0.947
W,0.57,0.556,0.833,0.539,0.381,0.682
L,0.433,0.222,0.65,0.453,0.364,0.68
L,0.427,0.167,0.725,0.513,0.441,0.833
L,0.357,0.176,0.824,0.39,0.208,0.64
L,0.464,0.3,0.704,0.487,0.375,0.839
L,0.422,0.375,0.781,0.573,0.389,0.88
L,0.364,0.182,0.69,0.462,0.227,0.929
W,0.395,0.083,0.758,0.388,0.286,0.833
L,0.462,0.143,0.655,0.511,0.25,0.75
L,0.422,0.3,0.75,0.42,0.294,0.794
L,0.444,0.375,0.571,0.5,0.588,0.722
L,0.452,0.5,0.5,0.565,0.348,0.714
L,0.468,0.455,0.792,0.5,0.316,0.714
L,0.443,0.308,0.759,0.524,0.5,0.806
L,0.398,0.2,0.708,0.411,0.158,0.781
L,0.442,0.421,0.583,0.466,0.393,0.81
L,0.463,0.471,0.714,0.481,0.368,0.773
L,0.462,0.292,0.727,0.541,0.417,0.862
L,0.395,0.316,0.833,0.507,0.55,0.667
L,0.427,0.417,0.833,0.548,0.368,0.688
L,0.478,0.412,0.842,0.479,0.192,0.842
L,0.405,0.273,0.824,0.52,0.632,0.8
L,0.395,0.2,1,0.488,0.375,0.85
W,0.471,0.5,0.947,0.488,0.278,0.6
L,0.462,0.364,0.583,0.552,0.333,0.818
W,0.538,0.421,0.905,0.413,0.323,0.864
L,0.363,0.316,0.8,0.449,0.545,0.684
L,0.348,0.133,0.733,0.513,0.407,0.643
L,0.417,0.222,0.706,0.5,0.75,0.643
L,0.521,0.375,0.8,0.563,0.357,0.667
L,0.341,0.154,0.75,0.419,0.2,0.667
W,0.494,0.375,0.875,0.462,0.304,0.778
L,0.447,0.357,0.84,0.5,0.348,0.84
L,0.415,0.462,0.762,0.483,0.313,0.632
L,0.415,0.231,0.885,0.464,0.323,0.667
W,0.514,0.545,0.815,0.488,0.438,0.667
W,0.432,0.294,0.882,0.522,0.167,0.75
W,0.513,0.417,0.853,0.468,0.323,0.773
L,0.452,0.313,0.727,0.512,0.476,0.95
L,0.384,0.357,0.741,0.444,0.259,0.778
W,0.465,0.267,0.711,0.449,0.412,0.71
L,0.333,0.278,0.897,0.415,0.316,0.676
W,0.432,0.308,0.821,0.379,0.222,0.875
L,0.429,0.143,0.677,0.385,0.29,0.813
L,0.386,0.368,0.815,0.594,0.364,0.724
L,0.439,0.267,0.829,0.478,0.364,0.526
L,0.39,0.167,0.72,0.457,0.4,0.8
W,0.541,0.571,0.806,0.489,0.519,0.765
L,0.373,0.25,0.571,0.443,0.355,0.533
L,0.444,0.077,0.923,0.5,0.25,0.769
L,0.436,0.25,0.903,0.436,0.458,1
L,0.442,0.467,0.778,0.583,0.545,0.867
L,0.466,0.6,0.882,0.578,0.385,0.765
L,0.483,0.353,0.667,0.443,0.414,0.852
W,0.41,0.167,0.833,0.412,0.2,0.8
L,0.554,0.364,0.75,0.506,0.333,0.813
W,0.474,0.632,0.8,0.437,0.321,0.613
L,0.423,0.273,0.9,0.424,0.231,0.944
L,0.487,0.429,0.882,0.53,0.455,0.706
L,0.427,0.167,0.917,0.573,0.462,0.75
L,0.368,0.375,0.815,0.476,0.303,0.889
L,0.532,0.357,0.632,0.553,0.433,0.696
L,0.453,0.091,0.781,0.435,0.286,0.647
L,0.484,0.316,0.714,0.525,0.375,0.676
L,0.376,0.273,0.828,0.494,0.364,0.87
L,0.432,0.2,0.912,0.494,0.391,0.625
L,0.443,0.458,0.769,0.452,0.355,0.714
L,0.397,0.286,0.786,0.44,0.286,0.833
L,0.464,0.316,0.829,0.547,0.429,0.71